Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
15,tr_better,0.59313902,0.510891239,0.665430065,0.552363263,0.481033284,0.614928522,0.658828615,0.547378782,0.72839347,0.523791832,0.446818188,0.74542231
16,tr_better,0.594221787,0.506418765,0.667421815,0.552716667,0.48287961,0.613758491,0.659673996,0.55351652,0.726593922,0.525163932,0.445943456,0.756865885
17,tr_better,0.59329731,0.5118611,0.666625697,0.552476424,0.479982295,0.624384265,0.659747964,0.546152865,0.732060105,0.523892101,0.446601342,0.748998623
18,tr_better,0.593739384,0.510504282,0.664303755,0.552841163,0.475959034,0.607807091,0.659976901,0.542042116,0.73118203,0.521705354,0.444094779,0.735220809
19,tr_better,0.59380888,0.507067313,0.66455101,0.552411909,0.485826138,0.612832907,0.660586426,0.546307774,0.728540747,0.524939873,0.448311959,0.745605314
20,tr_better,0.593321016,0.510043007,0.665722552,0.552929313,0.498216891,0.603422408,0.659045355,0.544594455,0.72985121,0.527155142,0.447320177,0.766145453
21,tr_better,0.595564309,0.511388271,0.666666453,0.551481147,0.497508633,0.611239833,0.662639718,0.552303281,0.729445763,0.5271284,0.447988378,0.764541017
22,tr_better,0.594721699,0.511615612,0.667200886,0.553454798,0.48034668,0.598209223,0.659300323,0.54297814,0.728955447,0.522076537,0.446109989,0.741292887
23,tr_better,0.593782191,0.509338052,0.663824412,0.553497374,0.480428721,0.605127673,0.659484577,0.549906872,0.729425544,0.523445478,0.4461132,0.755149854
24,tr_better,0.592627498,0.510783599,0.666524039,0.55180211,0.485135021,0.630454898,0.659031897,0.542756721,0.729572867,0.52579501,0.446667179,0.757066608
25,tr_better,0.593802524,0.510803653,0.665417307,0.553549147,0.487012987,0.613918497,0.657038899,0.547405531,0.728211116,0.523208769,0.444920136,0.761097837
26,tr_better,0.594298366,0.510057253,0.667131623,0.552630846,0.493355384,0.615552192,0.659327311,0.545370392,0.729211467,0.523589308,0.448560933,0.743522548
27,tr_better,0.593063517,0.50839237,0.663903174,0.553092671,0.487896334,0.600028808,0.658168722,0.547801036,0.725708507,0.52424448,0.446507,0.755449519
28,tr_better,0.592283242,0.509443311,0.66466467,0.551912449,0.488574321,0.618561665,0.658157756,0.544710911,0.728200137,0.52493404,0.446765625,0.745500347
29,tr_better,0.593465574,0.506888872,0.666645141,0.553943349,0.4783485,0.628893805,0.659581862,0.543116952,0.728939764,0.52367622,0.445286412,0.753255219
30,tr_better,0.594036271,0.51242983,0.663722002,0.552853916,0.475756026,0.600737101,0.659768099,0.54664878,0.730554654,0.526248898,0.446533978,0.762438389
31,tr_better,0.593665509,0.509682485,0.663195459,0.552882699,0.492158166,0.613842619,0.65986982,0.548717633,0.730517802,0.52305324,0.447782232,0.738895096
32,tr_better,0.593190342,0.510790141,0.664963832,0.552576185,0.476760755,0.615784979,0.659120926,0.552169794,0.7285632,0.524677714,0.445659785,0.751117777
33,tr_better,0.593606505,0.509615827,0.665778141,0.553457184,0.486682805,0.595689749,0.660153441,0.544531093,0.730877565,0.522438141,0.449085384,0.745701399
34,tr_better,0.597324142,0.511129346,0.670814512,0.553611828,0.465028978,0.60806907,0.655644817,0.546556896,0.725668366,0.523851416,0.445711679,0.764148838
35,tr_better,0.594751382,0.511095448,0.664295117,0.552918248,0.467639495,0.605712596,0.659050436,0.543279721,0.727708454,0.522393827,0.445344976,0.753380421
36,tr_better,0.594752088,0.510031578,0.66636696,0.553378712,0.498776511,0.598545595,0.6587353,0.547945987,0.728743047,0.523951105,0.446319824,0.753060806
37,tr_better,0.593463243,0.50950997,0.667146521,0.551415572,0.472531365,0.597385075,0.659046751,0.543984396,0.730652179,0.526405499,0.447928919,0.760437585
38,tr_better,0.594221181,0.511657217,0.665581081,0.554149755,0.440266622,0.62849849,0.659661833,0.545345865,0.729122389,0.525204248,0.449139964,0.752678598
39,tr_better,0.592804594,0.505069853,0.664611801,0.552603367,0.475968154,0.599216069,0.659531506,0.546547426,0.728225064,0.525452448,0.447234211,0.75032961
40,tr_better,0.593451875,0.506578987,0.666320247,0.553678728,0.480388422,0.6238707,0.658806662,0.543034004,0.729497983,0.524202917,0.445809305,0.749778664
41,tr_better,0.593862277,0.509372496,0.665106186,0.553566574,0.493180077,0.611975613,0.659237367,0.545610159,0.729808073,0.524524541,0.445583711,0.755452084
42,tr_better,0.594739599,0.512341786,0.666500849,0.553778568,0.491369999,0.592335261,0.656403363,0.541340611,0.727290748,0.518638161,0.441356663,0.744954733
43,tr_better,0.594926238,0.509280721,0.666852533,0.554055559,0.489609928,0.613561407,0.659414749,0.548476857,0.729545235,0.524451844,0.445221028,0.753119139
44,tr_better,0.594414276,0.512534342,0.664984117,0.552851096,0.483591236,0.606869037,0.660002763,0.548480709,0.729472429,0.52444314,0.447254818,0.750064143
45,tr_better,0.593353517,0.511961311,0.66533945,0.553655357,0.485707605,0.623294794,0.659468535,0.550383648,0.730954689,0.526504985,0.448269094,0.762511494
46,tr_better,0.592877156,0.509333243,0.663431241,0.552271825,0.490377074,0.621738902,0.660828911,0.54842086,0.729502206,0.525397107,0.447294239,0.758055958
47,tr_better,0.594996631,0.510214004,0.666586157,0.553868743,0.469715731,0.619873901,0.658665374,0.546239043,0.729593483,0.523941359,0.447048512,0.755745224
48,tr_better,0.593455275,0.508559217,0.66714253,0.55354557,0.477130032,0.613642913,0.659746742,0.552035254,0.728195337,0.522186576,0.445600268,0.743687679
49,tr_better,0.595306553,0.51055192,0.666306368,0.55429179,0.50109026,0.621125359,0.659371855,0.551248323,0.730666163,0.523810429,0.44673505,0.748246758
50,tr_better,0.59446511,0.513179644,0.664935244,0.553562163,0.485766427,0.606350742,0.659075155,0.545812132,0.728093117,0.524213907,0.446065834,0.757137729
51,tr_better,0.593600107,0.508616025,0.665550618,0.55349258,0.505942726,0.609867065,0.659145814,0.548212159,0.727163126,0.525386864,0.447304775,0.751066922
52,tr_better,0.59451034,0.511931802,0.667383365,0.553953608,0.487042,0.615706157,0.660257758,0.545471721,0.731664411,0.52358862,0.447939489,0.747241874
53,tr_better,0.593706431,0.508846335,0.666418212,0.553927924,0.492194071,0.598274249,0.659399035,0.547699823,0.731002044,0.524165335,0.446509364,0.749654503
54,tr_better,0.593074861,0.510302815,0.665343914,0.553458919,0.452631387,0.620866513,0.66133592,0.546910109,0.730106368,0.523372575,0.446252741,0.755036952
55,tr_better,0.595450778,0.513181242,0.667509338,0.553870605,0.471922111,0.619067425,0.656627677,0.544256911,0.725431591,0.522403028,0.446967937,0.749125207
56,tr_better,0.590450512,0.504764469,0.661219254,0.551148487,0.498017437,0.622563927,0.656864524,0.540082949,0.727313478,0.525196027,0.445255865,0.754459959
