Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
39,tr_worse,0.311070684,0.212306441,0.405111475,0.53784883,0.48464194,0.623156306,1.309003512,1.150423241,1.450971991,1.023961533,0.803097774,1.357089591
40,tr_worse,0.314873901,0.218269348,0.404604383,0.538478542,0.484951648,0.607688756,1.313980814,1.154690827,1.455101287,1.033882482,0.813422992,1.383961772
41,tr_worse,0.314201472,0.217738378,0.405422872,0.538778754,0.459685667,0.58998455,1.312818086,1.168007895,1.451341033,1.0252278,0.80932064,1.365276718
42,tr_worse,0.311983234,0.217332062,0.405186992,0.538462773,0.480904288,0.601830322,1.314142965,1.157281674,1.454512448,1.028871837,0.810374016,1.36677561
43,tr_worse,0.312729684,0.213530086,0.406621756,0.539151475,0.467305218,0.597524788,1.314229847,1.15758049,1.455038409,1.034718302,0.807516475,1.362974134
44,tr_worse,0.317372993,0.219554069,0.40931808,0.537938301,0.462202192,0.603207673,1.312893541,1.150279184,1.455305877,1.030181507,0.808512864,1.371554547
45,tr_worse,0.313132235,0.215176875,0.406142463,0.538860918,0.477203914,0.607904378,1.31388187,1.146483859,1.458356535,1.030496775,0.807778608,1.368676014
46,tr_worse,0.309131146,0.211370964,0.400642194,0.536407185,0.463247468,0.607801669,1.311787695,1.167716937,1.452227,1.017850693,0.803302206,1.350358835
47,tr_worse,0.315941888,0.21618817,0.410592988,0.539161615,0.450744359,0.60843263,1.306165756,1.155792383,1.443911673,1.024275811,0.807658133,1.355866634
48,tr_worse,0.313810764,0.218457638,0.408235791,0.538741478,0.450334968,0.588715704,1.314837794,1.171205517,1.453521667,1.032426117,0.814755961,1.379230345
49,tr_worse,0.315041123,0.219733125,0.408606034,0.539320831,0.463523198,0.606725113,1.313152421,1.158403673,1.455641819,1.032799217,0.811783603,1.365162982
50,tr_worse,0.314734324,0.216315346,0.407339275,0.539761944,0.482851286,0.600037831,1.313614467,1.154880984,1.453444993,1.028246384,0.811528349,1.373192315
51,tr_worse,0.314539557,0.220484917,0.409335723,0.539441612,0.470599075,0.594678443,1.306377255,1.152382251,1.442868381,1.02360704,0.799842111,1.36157176
52,tr_worse,0.313612906,0.21507792,0.408028564,0.538924139,0.471397609,0.603065057,1.315296384,1.155735006,1.454433058,1.031933381,0.812290164,1.375063255
53,tr_worse,0.314968955,0.217986885,0.408043503,0.539727147,0.473667842,0.609159868,1.307316721,1.156548968,1.449732067,1.024467633,0.801552013,1.352444843
54,tr_worse,0.31238127,0.21421805,0.406551934,0.53779285,0.448177291,0.601467141,1.315734996,1.152600025,1.460301171,1.032151973,0.809846462,1.37401622
55,tr_worse,0.31469241,0.219890678,0.407327062,0.539565763,0.470933759,0.582195085,1.30005337,1.13687269,1.439285191,1.020245049,0.805825033,1.348122097
56,tr_worse,0.306746281,0.212474932,0.402553622,0.535766687,0.494780487,0.599738035,1.309798575,1.158503847,1.449875859,1.02120676,0.80685484,1.355059011
57,tr_worse,0.307517464,0.20981791,0.400674536,0.534769835,0.46296649,0.598237929,1.315513781,1.16676909,1.457631035,1.027438968,0.805437135,1.371471894
58,tr_worse,0.316279714,0.222574391,0.409140957,0.539347654,0.47199,0.590061453,1.305934166,1.151375118,1.447007543,1.028636065,0.809194798,1.387426144
